form_no,point_no,subject,kpi_objective,uom,weight_percent,source_data,target,actual,calc_type,manual_score
DEMO-KPI-202607-037,3,Delivery,Ketepatan penyelesaian aktivitas MCL,%,20,Schedule vs Actual Report,98,95,HIGHER_BETTER,
DEMO-KPI-202607-037,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MCL",%,20,Safety Patrol / 5S Audit,100,97,HIGHER_BETTER,
DEMO-KPI-202607-037,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MCL,Score,15,Leader Assessment,,,MANUAL_SCORE,93
DEMO-KPI-202607-038,1,Output,Achievement output MCL sesuai rencana bulanan,%,25,Daily Production / Department Report,100,84,HIGHER_BETTER,
DEMO-KPI-202607-038,2,Quality,Menjaga defect rate area MCL di bawah target,%,20,QA Defect Monitoring,2,4.0,LOWER_BETTER,
DEMO-KPI-202607-038,3,Delivery,Ketepatan penyelesaian aktivitas MCL,%,20,Schedule vs Actual Report,98,98,HIGHER_BETTER,
DEMO-KPI-202607-038,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MCL",%,20,Safety Patrol / 5S Audit,100,93,HIGHER_BETTER,
DEMO-KPI-202607-038,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MCL,Score,15,Leader Assessment,,,MANUAL_SCORE,97
DEMO-KPI-202607-039,1,Output,Achievement output MCL sesuai rencana bulanan,%,25,Daily Production / Department Report,100,91,HIGHER_BETTER,
DEMO-KPI-202607-039,2,Quality,Menjaga defect rate area MCL di bawah target,%,20,QA Defect Monitoring,2,0.6,LOWER_BETTER,
DEMO-KPI-202607-039,3,Delivery,Ketepatan penyelesaian aktivitas MCL,%,20,Schedule vs Actual Report,98,88,HIGHER_BETTER,
DEMO-KPI-202607-039,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MCL",%,20,Safety Patrol / 5S Audit,100,98,HIGHER_BETTER,
DEMO-KPI-202607-039,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MCL,Score,15,Leader Assessment,,,MANUAL_SCORE,75
DEMO-KPI-202607-040,1,Output,Achievement output MCL sesuai rencana bulanan,%,25,Daily Production / Department Report,100,98,HIGHER_BETTER,
DEMO-KPI-202607-040,2,Quality,Menjaga defect rate area MCL di bawah target,%,20,QA Defect Monitoring,2,1.1,LOWER_BETTER,
DEMO-KPI-202607-040,3,Delivery,Ketepatan penyelesaian aktivitas MCL,%,20,Schedule vs Actual Report,98,91,HIGHER_BETTER,
DEMO-KPI-202607-040,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MCL",%,20,Safety Patrol / 5S Audit,100,94,HIGHER_BETTER,
DEMO-KPI-202607-040,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MCL,Score,15,Leader Assessment,,,MANUAL_SCORE,79
DEMO-KPI-202607-041,1,Output,Achievement output PUR sesuai rencana bulanan,%,25,Daily Production / Department Report,100,105,HIGHER_BETTER,
DEMO-KPI-202607-041,2,Quality,Menjaga defect rate area PUR di bawah target,%,20,QA Defect Monitoring,2,1.6,LOWER_BETTER,
DEMO-KPI-202607-041,3,Delivery,Ketepatan penyelesaian aktivitas PUR,%,20,Schedule vs Actual Report,98,94,HIGHER_BETTER,
DEMO-KPI-202607-041,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PUR",%,20,Safety Patrol / 5S Audit,100,99,HIGHER_BETTER,
DEMO-KPI-202607-041,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PUR,Score,15,Leader Assessment,,,MANUAL_SCORE,83
DEMO-KPI-202607-042,1,Output,Achievement output PUR sesuai rencana bulanan,%,25,Daily Production / Department Report,100,88,HIGHER_BETTER,
DEMO-KPI-202607-042,2,Quality,Menjaga defect rate area PUR di bawah target,%,20,QA Defect Monitoring,2,2.1,LOWER_BETTER,
DEMO-KPI-202607-042,3,Delivery,Ketepatan penyelesaian aktivitas PUR,%,20,Schedule vs Actual Report,98,97,HIGHER_BETTER,
DEMO-KPI-202607-042,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PUR",%,20,Safety Patrol / 5S Audit,100,95,HIGHER_BETTER,
DEMO-KPI-202607-042,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PUR,Score,15,Leader Assessment,,,MANUAL_SCORE,87
DEMO-KPI-202607-043,1,Output,Achievement output PUR sesuai rencana bulanan,%,25,Daily Production / Department Report,100,95,HIGHER_BETTER,
DEMO-KPI-202607-043,2,Quality,Menjaga defect rate area PUR di bawah target,%,20,QA Defect Monitoring,2,2.6,LOWER_BETTER,
DEMO-KPI-202607-043,3,Delivery,Ketepatan penyelesaian aktivitas PUR,%,20,Schedule vs Actual Report,98,100,HIGHER_BETTER,
DEMO-KPI-202607-043,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PUR",%,20,Safety Patrol / 5S Audit,100,100,HIGHER_BETTER,
DEMO-KPI-202607-043,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PUR,Score,15,Leader Assessment,,,MANUAL_SCORE,91
DEMO-KPI-202607-044,1,Output,Achievement output PUR sesuai rencana bulanan,%,25,Daily Production / Department Report,100,102,HIGHER_BETTER,
DEMO-KPI-202607-044,2,Quality,Menjaga defect rate area PUR di bawah target,%,20,QA Defect Monitoring,2,3.1,LOWER_BETTER,
DEMO-KPI-202607-044,3,Delivery,Ketepatan penyelesaian aktivitas PUR,%,20,Schedule vs Actual Report,98,90,HIGHER_BETTER,
DEMO-KPI-202607-044,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PUR",%,20,Safety Patrol / 5S Audit,100,96,HIGHER_BETTER,
DEMO-KPI-202607-044,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PUR,Score,15,Leader Assessment,,,MANUAL_SCORE,95
DEMO-KPI-202607-045,1,Output,Achievement output PUR sesuai rencana bulanan,%,25,Daily Production / Department Report,100,85,HIGHER_BETTER,
DEMO-KPI-202607-045,2,Quality,Menjaga defect rate area PUR di bawah target,%,20,QA Defect Monitoring,2,3.6,LOWER_BETTER,
DEMO-KPI-202607-045,3,Delivery,Ketepatan penyelesaian aktivitas PUR,%,20,Schedule vs Actual Report,98,93,HIGHER_BETTER,
DEMO-KPI-202607-045,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S PUR",%,20,Safety Patrol / 5S Audit,100,92,HIGHER_BETTER,
DEMO-KPI-202607-045,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja PUR,Score,15,Leader Assessment,,,MANUAL_SCORE,99
DEMO-KPI-202607-046,1,Output,Achievement output HRGA sesuai rencana bulanan,%,25,Daily Production / Department Report,100,92,HIGHER_BETTER,
DEMO-KPI-202607-046,2,Quality,Menjaga defect rate area HRGA di bawah target,%,20,QA Defect Monitoring,2,4.1,LOWER_BETTER,
DEMO-KPI-202607-046,3,Delivery,Ketepatan penyelesaian aktivitas HRGA,%,20,Schedule vs Actual Report,98,96,HIGHER_BETTER,
DEMO-KPI-202607-046,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S HRGA",%,20,Safety Patrol / 5S Audit,100,97,HIGHER_BETTER,
DEMO-KPI-202607-046,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja HRGA,Score,15,Leader Assessment,,,MANUAL_SCORE,77
DEMO-KPI-202607-047,1,Output,Achievement output HRGA sesuai rencana bulanan,%,25,Daily Production / Department Report,100,99,HIGHER_BETTER,
DEMO-KPI-202607-047,2,Quality,Menjaga defect rate area HRGA di bawah target,%,20,QA Defect Monitoring,2,0.7,LOWER_BETTER,
DEMO-KPI-202607-047,3,Delivery,Ketepatan penyelesaian aktivitas HRGA,%,20,Schedule vs Actual Report,98,99,HIGHER_BETTER,
DEMO-KPI-202607-047,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S HRGA",%,20,Safety Patrol / 5S Audit,100,93,HIGHER_BETTER,
DEMO-KPI-202607-047,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja HRGA,Score,15,Leader Assessment,,,MANUAL_SCORE,81
DEMO-KPI-202607-048,1,Output,Achievement output HRGA sesuai rencana bulanan,%,25,Daily Production / Department Report,100,82,HIGHER_BETTER,
DEMO-KPI-202607-048,2,Quality,Menjaga defect rate area HRGA di bawah target,%,20,QA Defect Monitoring,2,1.2,LOWER_BETTER,
DEMO-KPI-202607-048,3,Delivery,Ketepatan penyelesaian aktivitas HRGA,%,20,Schedule vs Actual Report,98,89,HIGHER_BETTER,
DEMO-KPI-202607-048,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S HRGA",%,20,Safety Patrol / 5S Audit,100,98,HIGHER_BETTER,
DEMO-KPI-202607-048,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja HRGA,Score,15,Leader Assessment,,,MANUAL_SCORE,85
DEMO-KPI-202607-049,1,Output,Achievement output HRGA sesuai rencana bulanan,%,25,Daily Production / Department Report,100,89,HIGHER_BETTER,
DEMO-KPI-202607-049,2,Quality,Menjaga defect rate area HRGA di bawah target,%,20,QA Defect Monitoring,2,1.7,LOWER_BETTER,
DEMO-KPI-202607-049,3,Delivery,Ketepatan penyelesaian aktivitas HRGA,%,20,Schedule vs Actual Report,98,92,HIGHER_BETTER,
DEMO-KPI-202607-049,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S HRGA",%,20,Safety Patrol / 5S Audit,100,94,HIGHER_BETTER,
DEMO-KPI-202607-049,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja HRGA,Score,15,Leader Assessment,,,MANUAL_SCORE,89
DEMO-KPI-202607-050,1,Output,Achievement output HRGA sesuai rencana bulanan,%,25,Daily Production / Department Report,100,96,HIGHER_BETTER,
DEMO-KPI-202607-050,2,Quality,Menjaga defect rate area HRGA di bawah target,%,20,QA Defect Monitoring,2,2.2,LOWER_BETTER,
DEMO-KPI-202607-050,3,Delivery,Ketepatan penyelesaian aktivitas HRGA,%,20,Schedule vs Actual Report,98,95,HIGHER_BETTER,
DEMO-KPI-202607-050,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S HRGA",%,20,Safety Patrol / 5S Audit,100,99,HIGHER_BETTER,
DEMO-KPI-202607-050,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja HRGA,Score,15,Leader Assessment,,,MANUAL_SCORE,93
